	AA	AE	AH	AO	AW	AY	B	CH	D	DH	EH	ER	EY	F	G	HH	IH	IY	JH	K	L	M	N	NG	OW	OY	P	R	S	SH	T	TH	UH	UW	V	W	Y	Z	ZH	eps
EH	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.295	0.035	0.05	0.015	0.015	0.015	0.035	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.005
ER	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.37	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
EY	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.355	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
F	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.425	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
G	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.3565	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.0035
HH	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.345	0.035	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
IH	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.035	0.33	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
IY	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.035	0.015	0.05	0.015	0.015	0.035	0.05	0.26	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.005
JH	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.3365	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.05	0.0035
K	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.3915	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.0035
L	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.3915	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.0035
M	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.3865	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.0035
N	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.37	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
NG	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.355	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
OW	0.05	0.015	0.015	0.035	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.26	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.035	0.015	0.015	0.015	0.015	0.015	0.005
OY	0.035	0.015	0.015	0.05	0.035	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.275	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.005
P	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.3915	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.0035
R	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.355	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
S	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.3515	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.035	0.0035
SH	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.3365	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.05	0.0035
T	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.3365	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.0035
TH	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.3365	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.0035
UH	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.37	0.05	0.015	0.015	0.015	0.015	0.015	0.005
UW	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.37	0.015	0.015	0.015	0.015	0.015	0.005
V	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.39	0.05	0.015	0.015	0.015	0.005
W	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.39	0.015	0.015	0.015	0.005
Y	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.335	0.015	0.015	0.005
Z	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.3165	0.05	0.0035
ZH	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.2815	0.0035
eps	0.000158333	0.000158333	0.000158333	0.000158333	0.000158333	0.000158333	0.00008	0.000158333	0.00008	0.00008	0.000158333	0.000158333	0.000158333	0.000158333	0.00008	0.000158333	0.000158333	0.000158333	0.00008	0.00008	0.00008	0.00008	0.000158333	0.000158333	0.000158333	0.000158333	0.00008	0.000158333	0.00008	0.00008	0.00008	0.00008	0.000158333	0.000158333	0.000158333	0.000158333	0.000158333	0.00008	0.00008	0																															
